epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,553.166,1.54194,7.39652,0.45671,1.90445,1.98357,0.42699,0.62735,0.45701,0.19363,0.00622,0.00769,0.00022,2e-05,1.72866,9.30868,0.59775,1.85897,2.39066,0.008614,0.008614,0.008614
30,570.807,1.58782,7.47012,0.46944,1.93317,2.02169,0.4653,0.48531,0.44792,0.183,0.00838,0.00769,0.00022,2e-05,1.92295,9.29967,0.55864,1.73221,2.59276,0.0085645,0.0085645,0.0085645
31,588.838,1.55395,7.29864,0.46766,1.90159,1.9814,0.40467,0.61623,0.38171,0.17523,0,0,0,0,1.78778,9.32808,0.62037,1.92019,2.45721,0.008515,0.008515,0.008515
32,606.25,1.55027,7.45663,0.46364,1.90573,1.98976,0.40971,0.61993,0.39295,0.16927,0,0,0,0,1.94445,9.22829,0.56821,1.83821,2.65053,0.0084655,0.0084655,0.0084655
33,623.34,1.53959,7.44126,0.46096,1.91386,1.98285,0.29928,0.60979,0.34156,0.15669,0.00404,0.00769,0.00026,5e-05,1.75971,9.20671,0.57318,2.02708,2.42711,0.008416,0.008416,0.008416
34,640.596,1.53139,7.31476,0.45235,1.90662,1.98718,0.37466,0.59441,0.45072,0.18571,0.00432,0.00455,0.00012,2e-05,1.79851,9.1664,0.57244,1.86844,2.46793,0.0083665,0.0083665,0.0083665
35,658.691,1.55278,7.4086,0.45903,1.90757,1.9817,0.49738,0.70385,0.50108,0.21441,0.00014,0.01224,9e-05,1e-05,1.83881,9.03172,0.55257,1.78951,2.5154,0.008317,0.008317,0.008317
36,675.928,1.53048,7.20786,0.4496,1.86431,1.96954,0.40218,0.60315,0.4642,0.20637,0.00155,0.00455,0.00011,2e-05,1.77968,9.00583,0.54259,1.70964,2.42355,0.0082675,0.0082675,0.0082675
37,693.324,1.5231,7.28547,0.45624,1.83951,1.9804,0.46046,0.68206,0.50576,0.21539,0.00059,0.01224,0.00013,1e-05,1.7764,8.94042,0.56953,1.64996,2.47638,0.008218,0.008218,0.008218
38,710.826,1.54329,7.28896,0.45858,1.85725,1.97319,0.4631,0.61848,0.48627,0.23321,0.00851,0.01993,0.00051,0.00013,1.80574,8.91572,0.56827,1.63244,2.41222,0.0081685,0.0081685,0.0081685
39,728.209,1.51984,7.24648,0.45915,1.79754,1.96045,0.50555,0.68357,0.49456,0.22478,0.00114,0.00455,7e-05,2e-05,1.76456,8.84923,0.56346,1.56312,2.41732,0.008119,0.008119,0.008119
40,745.57,1.51353,7.27252,0.45523,1.84616,1.94636,0.49568,0.65317,0.53504,0.25015,0.00614,0.00455,9e-05,5e-05,1.74663,9.02279,0.53469,1.60616,2.39707,0.0080695,0.0080695,0.0080695
41,763.25,1.53463,7.13156,0.44904,1.85962,1.98197,0.52228,0.53811,0.50023,0.22099,0.00489,0.01993,0.00036,7e-05,1.73723,8.82373,0.56313,1.78977,2.41079,0.00802,0.00802,0.00802
42,780.774,1.47972,7.08088,0.44794,1.84121,1.94466,0.39314,0.64336,0.4616,0.20876,0.00013,0.00769,7e-05,1e-05,1.77252,8.82661,0.52312,1.66216,2.46434,0.0079705,0.0079705,0.0079705
43,798.097,1.4928,7.09464,0.43909,1.84035,1.95325,0.38665,0.65979,0.46605,0.22175,0.01142,0.01538,0.00091,0.00011,1.71536,8.98348,0.5552,1.70933,2.3903,0.007921,0.007921,0.007921
44,815.481,1.49949,7.08412,0.4476,1.79995,1.94898,0.50738,0.69545,0.53406,0.26039,0.00013,0.00769,7e-05,1e-05,1.65382,8.77479,0.53768,1.55078,2.27667,0.0078715,0.0078715,0.0078715
45,833.223,1.48615,7.0398,0.44203,1.80652,1.94496,0.42091,0.65457,0.49481,0.21205,0.00778,0.01538,0.00076,0.00012,1.83744,8.78258,0.54733,1.73319,2.52477,0.007822,0.007822,0.007822
46,850.483,1.48483,7.13368,0.44734,1.79238,1.93822,0.45608,0.62308,0.48218,0.22092,0.02248,0.01678,0.00176,0.0002,1.76883,8.72937,0.53931,1.70183,2.4143,0.0077725,0.0077725,0.0077725
47,868.142,1.47242,7.12991,0.44676,1.78984,1.9307,0.47535,0.56678,0.47855,0.23527,0.00863,0.01224,0.00058,0.00012,1.78207,8.76885,0.55931,1.73628,2.47904,0.007723,0.007723,0.007723
48,885.407,1.46386,6.95823,0.44131,1.78829,1.92671,0.52703,0.63837,0.53695,0.24785,0.01624,0.01224,0.00087,0.00018,1.72426,8.57367,0.53339,1.57846,2.37579,0.0076735,0.0076735,0.0076735
49,903.151,1.47758,6.94758,0.44679,1.78448,1.9272,0.41438,0.66853,0.447,0.21334,0.00703,0.01224,0.00028,5e-05,1.68275,8.75743,0.52736,1.67235,2.38596,0.007624,0.007624,0.007624
50,920.612,1.46327,7.0198,0.44302,1.81559,1.91696,0.47807,0.62856,0.5174,0.25817,0.00966,0.00909,0.00057,6e-05,1.61557,8.62211,0.54869,1.60975,2.26542,0.0075745,0.0075745,0.0075745
51,938.188,1.46553,7.02888,0.4409,1.76803,1.92146,0.53742,0.67238,0.58706,0.28115,0.00697,0.01993,0.00112,0.00042,1.70079,8.53101,0.53091,1.5562,2.35168,0.007525,0.007525,0.007525
52,955.491,1.49752,7.04712,0.44821,1.76346,1.95045,0.47259,0.63881,0.50274,0.23499,0.03633,0.01364,0.00347,0.00055,1.771,8.57839,0.53579,1.66717,2.43422,0.0074755,0.0074755,0.0074755
53,972.88,1.47774,7.09076,0.44284,1.78404,1.94028,0.55998,0.63671,0.56217,0.26858,0.00531,0.00769,0.00076,0.00012,1.67511,8.60151,0.53008,1.48948,2.33203,0.007426,0.007426,0.007426
54,990.295,1.45849,7.0086,0.44798,1.76797,1.91249,0.55166,0.61999,0.56291,0.29366,0.01957,0.04126,0.00263,0.00059,1.54554,8.47327,0.51639,1.50464,2.1907,0.0073765,0.0073765,0.0073765
55,1007.75,1.45136,6.87553,0.43737,1.78356,1.9134,0.4462,0.67818,0.4156,0.20828,0.0033,0.01224,0.00039,6e-05,1.74294,8.57505,0.56064,1.80229,2.50582,0.007327,0.007327,0.007327
56,1025.25,1.48026,6.9615,0.44649,1.78022,1.93585,0.49282,0.70629,0.54092,0.26878,0.01242,0.02448,0.00146,0.00022,1.6762,8.42897,0.5525,1.48294,2.31331,0.0072775,0.0072775,0.0072775
57,1042.71,1.44873,6.86968,0.43458,1.77659,1.9207,0.50596,0.67294,0.51853,0.2414,0.01864,0.01538,0.00215,0.00048,1.76877,8.3597,0.55533,1.57648,2.4055,0.007228,0.007228,0.007228
58,1060.12,1.46288,6.94898,0.44488,1.7518,1.92199,0.51393,0.67552,0.5962,0.29649,0.01847,0.02762,0.00227,0.00027,1.65751,8.37276,0.52972,1.53322,2.30161,0.0071785,0.0071785,0.0071785
59,1077.47,1.44604,6.8874,0.44472,1.73703,1.8974,0.55372,0.63986,0.58317,0.291,0.04107,0.02133,0.00509,0.00059,1.68084,8.3196,0.5264,1.49616,2.31118,0.007129,0.007129,0.007129
60,1094.82,1.4728,6.82008,0.45033,1.74667,1.91668,0.57363,0.63881,0.60951,0.30419,0.01667,0.02448,0.00249,0.00058,1.5918,8.33362,0.53084,1.51668,2.22884,0.0070795,0.0070795,0.0070795
61,1112.71,1.45034,6.81675,0.43408,1.73643,1.90537,0.50276,0.64755,0.61363,0.30748,0.04921,0.03671,0.00476,0.00079,1.70786,8.22311,0.523,1.42996,2.39295,0.00703,0.00703,0.00703
62,1130.36,1.44494,6.73491,0.43475,1.712,1.896,0.58432,0.66713,0.65803,0.32558,0.02038,0.01678,0.00259,0.00043,1.60322,8.16427,0.52755,1.44929,2.2732,0.0069805,0.0069805,0.0069805
63,1148.17,1.42846,6.85801,0.43646,1.70098,1.89108,0.5277,0.6535,0.59255,0.29929,0.03193,0.02762,0.00259,0.00041,1.61914,8.30561,0.51578,1.55154,2.2428,0.006931,0.006931,0.006931
64,1166.02,1.4161,6.66509,0.42944,1.72972,1.87792,0.59456,0.61993,0.62918,0.30786,0.05096,0.02902,0.00688,0.00138,1.63309,8.3078,0.52131,1.47989,2.25667,0.0068815,0.0068815,0.0068815
65,1183.35,1.43039,6.82424,0.43762,1.70954,1.88813,0.57135,0.62378,0.62427,0.31579,0.03095,0.03671,0.00326,0.0006,1.64104,8.26777,0.52656,1.45713,2.29853,0.006832,0.006832,0.006832
66,1201.26,1.42389,6.73037,0.43771,1.70607,1.88189,0.56224,0.64188,0.6339,0.30504,0.054,0.04755,0.00692,0.00154,1.61854,8.13956,0.5473,1.4961,2.26077,0.0067825,0.0067825,0.0067825
67,1218.96,1.45423,6.96272,0.44238,1.72331,1.91386,0.57945,0.69336,0.64256,0.3295,0.05747,0.03671,0.0044,0.00072,1.64342,8.04047,0.54708,1.4398,2.29216,0.006733,0.006733,0.006733
68,1236.46,1.40446,6.66214,0.42795,1.6747,1.87157,0.56132,0.71434,0.64211,0.31639,0.03283,0.0507,0.00544,0.00088,1.61038,7.88336,0.54061,1.44501,2.25366,0.0066835,0.0066835,0.0066835
69,1253.78,1.41495,6.74817,0.43685,1.70945,1.87838,0.65861,0.64441,0.70024,0.34373,0.05408,0.04895,0.00749,0.00144,1.59466,7.93032,0.50356,1.3834,2.22086,0.006634,0.006634,0.006634
70,1271.34,1.40799,6.67062,0.43042,1.70621,1.87375,0.52596,0.66678,0.62434,0.3063,0.06487,0.0472,0.01156,0.00151,1.62869,7.941,0.51498,1.4833,2.25186,0.0065845,0.0065845,0.0065845
71,1288.72,1.42037,6.73722,0.43138,1.72629,1.89005,0.53159,0.6535,0.5945,0.31765,0.03035,0.04895,0.00788,0.00187,1.59923,8.07423,0.51356,1.42393,2.21153,0.006535,0.006535,0.006535
72,1306.1,1.39771,6.62641,0.42943,1.69303,1.85701,0.54693,0.66093,0.61588,0.34098,0.06956,0.06294,0.02263,0.00315,1.56659,7.81789,0.53476,1.46821,2.22141,0.0064855,0.0064855,0.0064855
73,1324.17,1.4434,6.73721,0.43658,1.68737,1.88806,0.48176,0.66246,0.56532,0.27021,0.04617,0.06608,0.02782,0.00336,1.59221,7.91152,0.51951,1.57804,2.22937,0.006436,0.006436,0.006436
74,1341.7,1.42403,6.75062,0.43281,1.71616,1.8912,0.56349,0.57329,0.55738,0.29271,0.03976,0.03671,0.01247,0.00354,1.61635,8.06404,0.51028,1.52401,2.28658,0.0063865,0.0063865,0.0063865
75,1358.93,1.42168,6.53814,0.42934,1.70404,1.88564,0.60357,0.68916,0.67483,0.34401,0.05562,0.04126,0.00629,0.00107,1.60883,7.85867,0.50815,1.41388,2.21425,0.006337,0.006337,0.006337
76,1376.56,1.43066,6.56337,0.42644,1.71085,1.88936,0.5334,0.70076,0.61365,0.31905,0.05724,0.0535,0.00842,0.00144,1.65992,7.77542,0.48105,1.49335,2.33737,0.0062875,0.0062875,0.0062875
77,1393.78,1.41138,6.65186,0.42185,1.67425,1.87564,0.60979,0.61123,0.61746,0.33346,0.05018,0.04615,0.01311,0.00209,1.5434,7.91658,0.53289,1.42014,2.18756,0.006238,0.006238,0.006238
78,1411.25,1.41845,6.6198,0.43338,1.69367,1.87942,0.62331,0.67727,0.69634,0.35996,0.11096,0.06731,0.02053,0.00348,1.56271,7.84429,0.49254,1.33729,2.18451,0.0061885,0.0061885,0.0061885
79,1428.47,1.40982,6.69573,0.44012,1.63825,1.8729,0.53975,0.71017,0.6131,0.3094,0.06152,0.04441,0.00774,0.00128,1.63314,7.86901,0.53669,1.38578,2.26688,0.006139,0.006139,0.006139
80,1445.63,1.44742,6.50518,0.42049,1.67612,1.89448,0.64556,0.58211,0.61686,0.26442,0.03305,0.02587,0.00507,0.00086,1.77197,8.03238,0.49753,1.51015,2.47642,0.0060895,0.0060895,0.0060895
81,1463.26,1.4207,6.47827,0.41886,1.65608,1.87143,0.60786,0.65575,0.63858,0.31877,0.0697,0.10734,0.02239,0.00416,1.64186,7.75585,0.51953,1.43896,2.29907,0.00604,0.00604,0.00604
82,1480.68,1.40373,6.49166,0.42026,1.66408,1.85797,0.58287,0.68636,0.65247,0.34224,0.06482,0.05979,0.01193,0.00258,1.56091,7.56676,0.5256,1.41391,2.18781,0.0059905,0.0059905,0.0059905
83,1497.84,1.41817,6.53908,0.4266,1.67543,1.88677,0.69217,0.68531,0.70853,0.38134,0.07111,0.05664,0.00956,0.00155,1.48268,7.67863,0.47372,1.30955,2.10202,0.005941,0.005941,0.005941
84,1514.87,1.40612,6.61314,0.43232,1.69385,1.8563,0.65256,0.62727,0.67655,0.35571,0.05141,0.06434,0.01427,0.00376,1.55214,7.73383,0.48366,1.392,2.17999,0.0058915,0.0058915,0.0058915
85,1532.45,1.37712,6.57162,0.43194,1.61839,1.83902,0.61101,0.71838,0.70354,0.36738,0.0689,0.10874,0.0284,0.00381,1.55023,7.50043,0.48045,1.34109,2.18126,0.005842,0.005842,0.005842
86,1550.64,1.38915,6.57983,0.42619,1.62225,1.85017,0.66562,0.69206,0.68847,0.3523,0.06144,0.05609,0.0157,0.00268,1.58021,7.47371,0.49929,1.36365,2.21168,0.0057925,0.0057925,0.0057925
87,1567.94,1.38594,6.62532,0.42556,1.63035,1.84946,0.68982,0.66131,0.71352,0.37646,0.04702,0.06434,0.01836,0.00303,1.54573,7.53341,0.51644,1.25767,2.18015,0.005743,0.005743,0.005743
