epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.8287,2.05919,9.8911,1.07185,2.6899,2.48523,0,0,0,0,0,0,0,0,2.99137,14.738,37.7172,15129.6,35.8945,0.0702143,0.00330952,0.00330952
2,71.6837,1.94317,9.88709,1.02791,2.65379,2.40456,0.0103,0.12762,0.00543,0.00143,0,0,0,0,3.19956,13.3093,3.62702,9.23523,4.35135,0.0401814,0.00660997,0.00660997
3,93.5899,1.92985,9.80182,1.00575,2.64873,2.37737,0.0999,0.34266,0.07218,0.02326,0.00539,0.00769,0.00024,2e-05,2.24072,12.4344,1.27853,6.30551,3.08287,0.0101155,0.00987743,0.00987743
4,115.559,1.86243,9.74866,1.0109,2.52527,2.31767,0.08563,0.23601,0.06293,0.01714,0,0,0,0,2.54056,12.929,1.57259,3.63451,3.42693,0.0098515,0.0098515,0.0098515
5,137.73,1.85694,9.68594,1.00663,2.47212,2.29233,0.21999,0.27762,0.13875,0.04084,0.00016,0.00455,1e-05,0,2.24473,12.6063,1.29635,3.48642,3.12158,0.009802,0.009802,0.009802
6,159.622,1.82577,9.66123,0.97926,2.44711,2.25839,0.16401,0.24997,0.13436,0.04511,0.00316,0.00455,6e-05,1e-05,2.19817,12.3535,1.30446,2.97883,3.02271,0.0097525,0.0097525,0.0097525
7,181.202,1.74965,9.59208,0.99018,2.37543,2.18958,0.26277,0.39336,0.21785,0.07165,9e-05,0.00455,2e-05,0,1.99458,12.0671,1.23855,2.48271,2.78871,0.009703,0.009703,0.009703
8,202.36,1.74986,9.44873,0.97473,2.30393,2.18528,0.23141,0.44196,0.21491,0.07113,0,0,0,0,1.93018,11.9117,1.24445,3.05101,2.69113,0.0096535,0.0096535,0.0096535
9,223.797,1.73246,9.70264,0.97771,2.28248,2.15745,0.2013,0.38823,0.15103,0.04716,0,0,0,0,2.09287,12.1503,1.4866,2.69255,3.05285,0.009604,0.009604,0.009604
10,245.09,1.71158,9.34474,0.96643,2.28679,2.15977,0.28528,0.47517,0.26986,0.09836,0.00103,0.00769,7e-05,1e-05,2.07741,12.0853,1.26306,2.39102,2.89652,0.0095545,0.0095545,0.0095545
11,266.685,1.68781,9.54693,0.96603,2.24141,2.12443,0.25661,0.44978,0.30646,0.11631,3e-05,0.00455,1e-05,0,1.99634,11.8038,1.20479,2.45205,2.76462,0.009505,0.009505,0.009505
12,288.009,1.70435,9.46514,0.97936,2.24008,2.14055,0.29468,0.56678,0.29259,0.1038,0.00667,0.01224,0.00034,3e-05,1.90605,11.6517,1.21441,2.26807,2.60862,0.0094555,0.0094555,0.0094555
13,309.679,1.64889,9.26456,0.94661,2.17638,2.09443,0.30634,0.45245,0.31021,0.11651,0.00129,0.00769,0.00011,2e-05,1.87939,11.7254,1.1748,2.26995,2.5579,0.009406,0.009406,0.009406
14,331.963,1.67536,9.15977,0.93654,2.18673,2.12174,0.27777,0.50385,0.28128,0.1032,0.00088,0.00909,0.00011,2e-05,1.88801,11.7302,1.20093,2.38073,2.6473,0.0093565,0.0093565,0.0093565
