epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.573,1.32767,6.13067,0.40572,1.47983,1.7925,0.7544,0.79247,0.81028,0.45146,0.13262,0.13916,0.0437,0.00902,1.55577,6.98992,0.45399,1.10343,2.20869,0.0672357,0.000330952,0.000330952
2,65.6266,1.2599,5.80646,0.39539,1.39561,1.73613,0.79082,0.762,0.83551,0.50573,0.31968,0.18497,0.10458,0.02138,1.39255,6.41156,0.45384,0.98561,2.0032,0.0342324,0.000660997,0.000660997
3,84.3093,1.27805,5.7709,0.39742,1.42848,1.74158,0.82447,0.76293,0.85966,0.51892,0.28489,0.19895,0.12822,0.01916,1.38132,6.40402,0.4418,0.97667,2.0341,0.00122584,0.000987743,0.000987743
4,101.684,1.24088,5.66621,0.3928,1.38494,1.71569,0.81642,0.77413,0.84341,0.52096,0.34001,0.22937,0.13162,0.02304,1.35109,6.36702,0.43726,0.94229,1.97738,0.00098515,0.00098515,0.00098515
5,119.518,1.24938,5.65962,0.39514,1.37285,1.72852,0.83453,0.78222,0.86071,0.52773,0.28677,0.27238,0.16347,0.02809,1.37093,6.35424,0.43775,0.93955,2.00924,0.0009802,0.0009802,0.0009802
6,138.781,1.25193,5.69519,0.39542,1.36334,1.73946,0.81504,0.78497,0.85088,0.51532,0.31039,0.26469,0.16171,0.02873,1.35451,6.33501,0.43945,0.9639,1.95913,0.00097525,0.00097525,0.00097525
7,157.476,1.23081,5.68939,0.39405,1.35769,1.70826,0.81625,0.78997,0.8542,0.52487,0.24949,0.24301,0.11834,0.02525,1.38238,6.36393,0.43602,0.94237,2.00612,0.0009703,0.0009703,0.0009703
8,175.139,1.24038,5.59904,0.39646,1.36085,1.72271,0.79419,0.75315,0.84781,0.50215,0.24679,0.27813,0.13845,0.02876,1.37923,6.27112,0.44227,1.00639,1.99689,0.00096535,0.00096535,0.00096535
9,192.693,1.2318,5.83734,0.40013,1.34109,1.70002,0.78692,0.77273,0.85532,0.54135,0.32825,0.2507,0.1374,0.0257,1.33424,6.25744,0.43814,0.94997,1.96051,0.0009604,0.0009604,0.0009604
10,211.307,1.24373,5.60244,0.394,1.37753,1.7274,0.7512,0.81847,0.84847,0.53365,0.25049,0.24161,0.12291,0.02226,1.34917,6.30793,0.43483,0.95039,1.95705,0.00095545,0.00095545,0.00095545
11,228.823,1.24815,5.75058,0.39622,1.36481,1.71826,0.8406,0.75594,0.86233,0.53072,0.2859,0.24381,0.13166,0.02544,1.35258,6.33186,0.43794,0.92438,1.96888,0.0009505,0.0009505,0.0009505
12,246.507,1.24126,5.7373,0.40494,1.35821,1.71171,0.79706,0.80175,0.86486,0.532,0.30418,0.25739,0.13984,0.02406,1.3512,6.23637,0.43358,0.91741,1.9745,0.00094555,0.00094555,0.00094555
13,264.699,1.21035,5.53362,0.38947,1.32865,1.69759,0.7283,0.83342,0.84678,0.52153,0.30075,0.20979,0.13228,0.02349,1.32925,6.19735,0.43329,0.96783,1.95281,0.0009406,0.0009406,0.0009406
14,283.169,1.24162,5.60107,0.39547,1.3503,1.72298,0.78263,0.82351,0.86881,0.54418,0.35455,0.2493,0.15428,0.02963,1.32203,6.25121,0.42922,0.89804,1.9549,0.00093565,0.00093565,0.00093565
15,301.938,1.22879,5.60331,0.3895,1.34205,1.70934,0.83089,0.75279,0.85984,0.53028,0.30617,0.23531,0.13254,0.02393,1.34964,6.24946,0.4328,0.91823,1.98423,0.0009307,0.0009307,0.0009307
16,320.105,1.24412,5.66202,0.38959,1.3509,1.72228,0.77628,0.8099,0.85867,0.5342,0.30464,0.22797,0.14898,0.02656,1.31933,6.25866,0.42847,0.92262,1.94532,0.00092575,0.00092575,0.00092575
17,338.374,1.21214,5.6548,0.39295,1.32232,1.70841,0.78756,0.82093,0.86724,0.53996,0.311,0.22622,0.13973,0.02561,1.33812,6.27513,0.42993,0.91182,1.98746,0.0009208,0.0009208,0.0009208
18,356.486,1.23215,5.59609,0.3928,1.31053,1.70278,0.73775,0.78536,0.84843,0.54177,0.30688,0.24615,0.12958,0.02437,1.28585,6.22424,0.43165,0.92472,1.90814,0.00091585,0.00091585,0.00091585
19,375.478,1.22647,5.62686,0.38842,1.3275,1.71249,0.84455,0.73748,0.85802,0.54326,0.31167,0.24902,0.13337,0.02537,1.30667,6.21827,0.43363,0.92146,1.92597,0.0009109,0.0009109,0.0009109
20,393.251,1.22166,5.5689,0.39813,1.33735,1.71067,0.75731,0.83392,0.85517,0.52042,0.30498,0.22622,0.11641,0.0211,1.35364,6.27126,0.43438,0.9316,1.99573,0.00090595,0.00090595,0.00090595
21,411.269,1.23172,5.57783,0.3902,1.3233,1.70706,0.81747,0.78497,0.86696,0.53571,0.31525,0.23846,0.15243,0.02835,1.31847,6.18668,0.42532,0.9225,1.96523,0.000901,0.000901,0.000901
22,428.191,1.22769,5.632,0.39598,1.31431,1.70567,0.79601,0.78811,0.85908,0.53168,0.31341,0.2507,0.13304,0.02822,1.31149,6.2431,0.4291,0.92386,1.93718,0.00089605,0.00089605,0.00089605
23,445.676,1.24926,5.52886,0.39337,1.33084,1.71621,0.74497,0.83531,0.86198,0.54167,0.29597,0.28419,0.14377,0.02972,1.29722,6.19168,0.42994,0.91528,1.91632,0.0008911,0.0008911,0.0008911
24,463.052,1.21841,5.69893,0.39224,1.3274,1.69862,0.75841,0.83087,0.86381,0.53814,0.26386,0.24476,0.11135,0.02066,1.29824,6.24448,0.42791,0.89931,1.92333,0.00088615,0.00088615,0.00088615
25,480.294,1.21899,5.46176,0.38502,1.33702,1.69929,0.75724,0.8472,0.86557,0.53429,0.29395,0.24441,0.13461,0.02579,1.33603,6.19302,0.42915,0.89609,1.97341,0.0008812,0.0008812,0.0008812
26,497.626,1.21997,5.7457,0.39707,1.32579,1.70065,0.80645,0.79403,0.8665,0.53872,0.30799,0.26748,0.14814,0.02796,1.29007,6.23783,0.4279,0.90203,1.91489,0.00087625,0.00087625,0.00087625
27,515.176,1.20709,5.62019,0.39397,1.30277,1.68184,0.87403,0.74783,0.86468,0.53538,0.30303,0.24615,0.14393,0.02665,1.28754,6.18179,0.42848,0.92071,1.92039,0.0008713,0.0008713,0.0008713
